,Camera Bologna,Senato Bologna,Camera Nazionale,Senato Nazionale
Partito Democratico,29.28,,,19.40
Movimento 5 stelle,21.90,,,23.00
Lega nord,13.59,,,17.61
Forza italia,9.62,,,14.43
Liberi e uguali,8.04,,,3.28
Piu Europa,6.23,,,2.37
Fratelli d’italia,3.58,,,4.26
Potere al popolo,2.60,,,1.06
Italia Europa insieme,1.44,,,0.54
Civica popolare,0.74,,,0.52
Partito comunista,0.67,,,0.34
Casapound,0.55,,,0.86
Unione di centro,0.52,,,1.20
Il Popolo della Famiglia,0.49,,,0.70
Italia agli italiani,0.31,,,0.50
Per una sinistra rivoluzionaria,0.22,,,0.11
Partito Repubblicano Italiano,0.16,,,0.09
