Ticketid,Tipo Area
85509,MARCONI-2
85510,VIA FERRARESE
85511,GALVANI-2
85512,DAGNINI
85513,VIA TOSCANA
85514,GALVANI-2
85515,CIRENAICA
85516,DAGNINI
85517,MARCONI-1
85518,PILASTRO
85519,VIA ARNO
85520,VIA ARNO
85521,BEVERARA
85522,TRIUMVIRATO-PIETRA
85523,TRIUMVIRATO-PIETRA
85524,VILLAGGIO DELLA BARCA
85526,VIA FERRARESE
85525,XXI APRILE
85527,SAN GIUSEPPE
85528,AGUCCHI
85529,MARCONI-2
85530,BORGO CENTRO
85531,EMILIA PONENTE
85532,MALPIGHI-2
85533,XXI APRILE
85534,VIA FERRARESE
85535,SAN SAVINO
85536,EX MERCATO ORTOFRUTTICOLO
85537,CROCE DEL BIACCO
85538,DAGNINI
85539,DAGNINI
85540,GALVANI-2
85541,GALVANI-2
85542,GUELFA
85543,XXI APRILE
85544,MALPIGHI-2
85545,MARCONI-2
85546,GIARDINI MARGHERITA
85547,CASERME ROSSE-MANIFATTURA
85548,XXI APRILE
85549,XXI APRILE
85550,MEZZOFANTI
85551,MALPIGHI-2
85552,MICHELINO
85553,IRNERIO-2
85554,DUCATI-VILLAGGIO INA
85555,DUE MADONNE
85556,BORGO CENTRO
85557,BATTINDARNO
85558,IRNERIO-2
85559,BATTINDARNO
85560,SAN GIUSEPPE
85561,TRIUMVIRATO-PIETRA
85562,PIAZZA DELL'UNITA'
85563,ARCOVEGGIO
85564,SAN MICHELE IN BOSCO
85565,SAN SAVINO
85566,VIA DEL VIVAIO
85567,MICHELINO
85568,VIA MONDO
85569,VIA FERRARESE
85570,OSSERVANZA
85571,BATTINDARNO
85572,SAN GIUSEPPE
85573,VIA VITTORIO VENETO
85574,MARCONI-2
85575,CROCE COPERTA
85576,FOSSOLO
85577,AEROPORTO
85578,SAVENA ABBANDONATO
85579,EMILIA PONENTE
85580,XXI APRILE
85581,XXI APRILE
85582,EX MERCATO ORTOFRUTTICOLO
85583,GALVANI-1
85584,VELODROMO
85585,SAN SAVINO
85586,MICHELINO
85587,GALVANI-2
85588,IRNERIO-1
85589,MARCONI-2
85590,CIRENAICA
85591,VIA TOSCANA
85592,VIA VITTORIO VENETO
85593,ZANARDI
85594,BITONE
85595,SAN MICHELE IN BOSCO
85596,VIA VITTORIO VENETO
85597,DUE MADONNE
85598,AGUCCHI
85599,MALPIGHI-2
85600,XXI APRILE
85601,SAN GIUSEPPE
85602,XXI APRILE
85603,TRIUMVIRATO-PIETRA
85604,SAN GIUSEPPE
85605,ZANARDI
85606,MALPIGHI-2
85607,RAVONE
85608,IRNERIO-2
85609,VIA MONDO
85610,CIRENAICA
85611,MICHELINO
85612,MENGOLI
85613,IRNERIO-2
85614,VIA DEL LAVORO
85615,CAAB
85616,MEZZOFANTI
85617,VIA FERRARESE
85618,EMILIA PONENTE
85619,IRNERIO-2
85620,IRNERIO-1
85621,VIA DEL LAVORO
85622,VIA MONDO
85623,XXI APRILE
85624,IRNERIO-2
85625,IRNERIO-1
85626,IRNERIO-2
85627,MALPIGHI-2
85628,STRADELLI GUELFI
85629,XXI APRILE
85630,XXI APRILE
85631,PIAZZA DELL'UNITA'
85632,CROCE COPERTA
85633,MALPIGHI-2
85634,LA NOCE
85635,MARCONI-2
85636,VIA LARGA
85637,MALPIGHI-1
85638,MALPIGHI-1
85639,VIA VITTORIO VENETO
85640,BORGO CENTRO
85641,BEVERARA
85642,BEVERARA
85643,BEVERARA
85644,XXI APRILE
85645,SAN GIUSEPPE
85646,IRNERIO-2
85647,MARCONI-2
85648,XXI APRILE
85649,ZANARDI
85650,VIA VITTORIO VENETO
85651,IRNERIO-2
85652,FOSSOLO
85653,CASTELDEBOLE
85654,BITONE
85655,CORELLI
85656,XXI APRILE
85657,MALPIGHI-1
85658,MENGOLI
85659,BORGO CENTRO
85660,CHIESANUOVA
85661,AGUCCHI
85662,OSSERVANZA
85663,VIA LARGA
85664,SAN GIUSEPPE
85665,CROCE DEL BIACCO
85666,VIA MONDO
85667,VIA LARGA
85668,SAN GIUSEPPE
85669,FOSSOLO
85670,IRNERIO-2
85671,IRNERIO-2
85672,IRNERIO-1
85673,IRNERIO-2
85674,VIA FERRARESE
85675,IRNERIO-2
85676,GUELFA
85677,MENGOLI
85678,DAGNINI
85679,CROCE DEL BIACCO
85680,CAAB
85681,VIA VITTORIO VENETO
85682,MENGOLI
85683,XXI APRILE
85684,BEVERARA
85685,CIRENAICA
85686,CIRENAICA
85687,VIA DEL VIVAIO
85688,MENGOLI
85689,IRNERIO-2
85690,FOSSOLO
85691,TRIUMVIRATO-PIETRA
85692,DAGNINI
85693,PONTEVECCHIO
85694,MARCONI-2
85695,CANALE DI RENO
85696,MARCONI-2
85697,MARCONI-2
85698,PRATI DI CAPRARA-OSPEDALE MAGGIORE
85699,MALPIGHI-1
85700,XXI APRILE
85701,TRIUMVIRATO-PIETRA
85702,CROCE COPERTA
85703,BEVERARA
85704,ARCOVEGGIO
85705,CASTELDEBOLE
85706,SAN MICHELE IN BOSCO
85707,GIARDINI MARGHERITA
85708,GALVANI-2
85709,VIA MONDO
85710,RAVONE
85711,DAGNINI
85712,CORELLI
85713,MEZZOFANTI
85714,BORGO CENTRO
85715,ARCOVEGGIO
85716,BORGO CENTRO
85717,SAN SAVINO
85718,VIA MONDO
85719,IRNERIO-2
85720,BEVERARA
85721,XXI APRILE
85722,VIA DEL LAVORO
85723,MARCONI-2
85724,MARCONI-2
85725,VIA MONDO
85726,VIA LARGA
85727,DAGNINI
85728,ZANARDI
85729,TRIUMVIRATO-PIETRA
85730,GALVANI-2
85731,EX MERCATO ORTOFRUTTICOLO
85732,AGUCCHI
85733,MALPIGHI-2
85734,FOSSOLO
85735,IRNERIO-2
85736,SAN DONNINO
85737,
85738,SAVENA ABBANDONATO
85739,VIA TOSCANA
85740,VIA ARNO
