Zona,Categoria,Sottocategoria,Numero Segnalazioni
Colli,Degrado urbano,Piazze/strade,22
Colli,Degrado urbano,Illuminazione pubblica/lampioni,10
Colli,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,5
Colli,Degrado ambientale,Rifiuti/rottami,14
Colli,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,7
Colli,Degrado urbano,Edifici privati,2
Colli,Degrado urbano,Muri pubblici di contenimento stradale,1
Colli,Degrado ambientale,Neve,2
Colli,Degrado sociale,Senza fissa dimora,1
Colli,Degrado urbano,Cantieri edili,1
Colli,Degrado ambientale,Inquinamento acustico,1
Colli,Degrado sociale,Bivacco,2
Colli,Degrado urbano,Edifici pubblici,1
Colli,Degrado urbano,Piste ciclabili,2
Costa Saragozza,Degrado urbano,Cantieri edili,17
Costa Saragozza,Degrado ambientale,Rifiuti/rottami,79
Costa Saragozza,Degrado ambientale,Inquinamento atmosferico,7
Costa Saragozza,Degrado urbano,Piazze/strade,52
Costa Saragozza,Degrado urbano,Edifici privati,7
Costa Saragozza,Microcriminalita,Vandalismi,5
Costa Saragozza,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,24
Costa Saragozza,Degrado urbano,Parcheggi pubblici,1
Costa Saragozza,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,15
Costa Saragozza,Degrado urbano,Illuminazione pubblica/lampioni,31
Costa Saragozza,Degrado ambientale,Neve,2
Costa Saragozza,Degrado ambientale,Inquinamento acustico,9
Costa Saragozza,Degrado urbano,Cantieri stradali,10
Costa Saragozza,Microcriminalita,Furti/rapine,1
Costa Saragozza,Degrado urbano,Edifici pubblici,5
Costa Saragozza,Degrado ambientale,Altro,1
Costa Saragozza,Degrado sociale,Adulti in difficolta,1
Costa Saragozza,Microcriminalita,Comportamenti sanzionabili,2
Costa Saragozza,Degrado sociale,Prostituzione,1
Costa Saragozza,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,18
Costa Saragozza,Degrado urbano,Piste ciclabili,6
Costa Saragozza,Degrado ambientale,Scarichi idrici,3
Costa Saragozza,Degrado sociale,Senza fissa dimora,2
Costa Saragozza,Microcriminalita,Altro,1
Costa Saragozza,Degrado sociale,Bivacco,2
Costa Saragozza,Degrado sociale,Nomadi,1
Costa Saragozza,Degrado sociale,Conflitti,3
Costa Saragozza,Degrado sociale,Mendicanti,1
Costa Saragozza,Microcriminalita,Occupazioni abusive,1
Costa Saragozza,Degrado sociale,Tossicodipendenti,1
Costa Saragozza,Degrado sociale,Altro,2
Costa Saragozza,Degrado sociale,Bande giovanili,1
Bolognina,Degrado urbano,Piste ciclabili,7
Bolognina,Degrado ambientale,Rifiuti/rottami,117
Bolognina,Degrado urbano,Piazze/strade,19
Bolognina,Degrado sociale,Bivacco,20
Bolognina,Degrado urbano,Illuminazione pubblica/lampioni,21
Bolognina,Degrado sociale,Bande giovanili,3
Bolognina,Microcriminalita,Furti/rapine,3
Bolognina,Microcriminalita,Spaccio,12
Bolognina,Degrado ambientale,Inquinamento acustico,27
Bolognina,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,49
Bolognina,Degrado urbano,Edifici privati,12
Bolognina,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,13
Bolognina,Degrado ambientale,Dissesto idro-geologico,6
Bolognina,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,24
Bolognina,Degrado sociale,Tossicodipendenti,4
Bolognina,Degrado ambientale,Inquinamento atmosferico,7
Bolognina,Degrado sociale,Prostituzione,3
Bolognina,Degrado urbano,Edifici pubblici,5
Bolognina,Degrado ambientale,Scarichi idrici,6
Bolognina,Degrado sociale,Nomadi,5
Bolognina,Microcriminalita,Occupazioni abusive,9
Bolognina,Degrado ambientale,Neve,1
Bolognina,Degrado urbano,Cantieri edili,7
