Column1;Column2;Column3;Column4
Area Statistica;Categoria;Sottocategoria;Descrizione
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VILLAGGIO DELLA BARCA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
AGUCCHI;Degrado sociale;Segnalazioni;Nomadi
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
EMILIA PONENTE;Degrado urbano;Piazze/strade;Imbrattate
BORGO CENTRO;Degrado sociale;Segnalazioni;Bande giovanili
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VIA DEL VIVAIO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CASTELDEBOLE;Degrado urbano;Parcheggi pubblici;
BORGO CENTRO;Degrado urbano;Parcheggi pubblici;
VIA DEL VIVAIO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
TRIUMVIRATO-PIETRA;Degrado sociale;Segnalazioni;Prostituzione
LA BIRRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
RIGOSA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BORGO CENTRO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
EMILIA PONENTE;Degrado urbano;Piazze/strade;Dissestate
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
RIGOSA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
AGUCCHI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BORGO CENTRO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
TRIUMVIRATO-PIETRA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
LA BIRRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
BORGO CENTRO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CASTELDEBOLE;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
AGUCCHI;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VILLAGGIO DELLA BARCA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CASTELDEBOLE;Degrado urbano;Edifici privati;Imbrattati
VIA DEL VIVAIO;Degrado urbano;Piste ciclabili;Carenti
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
