Sezione elettorale,Destre Unite - Forconi,Il Popolo della Famiglia,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Civica Popolare Lorenzin,Italia Europa Insieme,+ Europa,Partito Democratico,Sinistra Rivoluzionaria,Partito Comunista,CasaPound,Liberi e Uguali,Italia agli Italiani,Movimento 5 Stelle,Forza Italia,Unione di Centro,Lega Nord,Fratelli d'Italia,Totale Votanti,Totale Voti Non Validi
1,0,0,0,4,1,5,24,69,0,0,0,36,1,38,49,0,47,15,312,10
2,1,2,0,11,7,4,31,92,1,3,6,41,1,56,59,2,56,24,440,10
3,0,6,1,14,1,5,29,82,2,4,2,33,1,61,71,1,55,26,437,14
4,0,4,0,18,2,9,40,101,0,2,2,41,1,79,76,6,43,21,483,12
5,1,3,2,19,2,9,20,59,0,0,4,32,1,45,65,4,61,26,388,13
6,0,1,0,19,3,8,37,96,4,1,1,60,0,70,58,6,48,21,468,10
7,1,1,1,24,0,6,43,142,1,3,0,54,0,83,48,2,53,17,527,14
8,0,2,0,7,1,5,36,92,0,2,4,43,1,78,30,0,42,14,396,15
9,1,1,0,26,3,7,25,85,2,6,6,36,2,71,53,0,55,17,434,7
10,0,2,2,36,0,5,49,78,0,3,3,56,2,48,49,0,41,12,439,16
11,1,1,2,14,3,3,26,79,1,1,1,49,1,40,38,0,44,15,350,12
12,1,3,1,27,0,6,27,72,4,1,1,72,1,73,23,0,22,13,379,14
13,0,1,2,17,3,4,18,54,0,3,1,31,0,33,22,1,23,9,245,8
14,0,0,0,37,2,4,33,88,4,7,0,60,0,81,45,3,30,10,422,8
15,0,8,2,17,1,1,32,127,1,3,3,46,2,68,69,1,53,13,485,4
16,1,0,1,25,1,7,34,92,1,2,2,43,2,88,39,0,44,18,444,8
17,0,3,0,26,5,11,36,138,1,8,4,59,1,99,22,1,50,10,494,6
18,1,2,0,20,3,4,42,135,3,2,5,54,2,68,50,2,76,23,524,12
19,0,1,0,8,1,3,48,115,0,2,1,38,0,45,76,6,59,30,479,14
20,0,4,2,5,4,8,45,92,0,0,4,28,3,41,100,3,88,32,498,8
21,1,2,2,31,1,5,43,117,2,1,1,55,3,83,45,1,59,20,511,8
22,3,2,3,17,3,7,40,118,2,3,5,60,2,61,80,4,69,15,542,13
23,1,4,1,11,8,4,45,151,0,0,3,49,1,64,54,5,64,16,528,19
24,0,2,3,13,4,11,48,108,2,2,2,40,0,78,90,4,76,28,545,9
25,0,3,1,17,1,4,27,109,2,0,0,37,4,69,62,2,68,25,469,4
26,0,2,1,21,3,5,32,115,5,0,3,50,1,70,49,4,73,24,503,19
27,0,2,1,18,2,9,29,123,4,2,1,50,1,72,37,2,47,17,463,16
28,0,3,2,23,1,13,27,105,1,1,1,54,1,69,82,5,62,17,505,11
29,0,2,0,9,7,6,34,71,2,3,3,47,0,91,36,1,46,15,408,12
30,1,4,1,17,1,6,37,112,0,3,2,59,3,115,29,2,59,13,499,6
31,0,3,0,19,1,3,42,144,0,2,2,54,1,97,48,3,59,19,536,17
32,0,3,0,15,4,7,24,140,0,5,4,33,4,113,37,3,55,12,517,15
33,1,2,1,15,1,0,34,115,2,3,1,48,2,99,43,2,59,7,489,13
34,1,2,0,12,1,6,24,118,0,2,1,42,1,90,27,0,66,16,431,4
35,0,2,2,19,2,2,29,128,1,3,1,47,1,105,38,3,68,19,513,14
36,0,2,0,13,2,6,33,117,0,5,0,56,1,59,41,4,54,27,470,12
37,0,2,0,9,0,11,32,118,0,5,5,41,1,86,62,2,63,14,493,13
38,1,2,0,21,0,4,20,98,0,2,2,52,1,86,44,1,62,16,432,11
39,2,1,0,16,1,3,50,115,1,2,2,45,2,96,31,0,60,14,469,8
40,1,1,3,5,6,4,37,111,1,0,1,30,0,66,64,1,86,16,457,6
41,2,0,2,19,2,5,36,109,0,4,1,49,0,116,52,2,69,19,520,10
42,1,0,2,16,1,3,32,90,0,5,6,39,2,101,28,1,65,15,449,12
43,0,4,1,15,5,5,39,160,1,1,0,44,4,76,59,6,86,16,542,12
44,0,1,3,4,9,4,30,90,0,1,2,27,0,59,67,6,79,26,441,16
45,0,4,2,19,4,3,36,121,3,0,5,57,3,87,81,2,60,35,568,15
46,0,3,2,18,2,10,37,109,2,0,1,49,0,71,55,3,37,17,445,7
47,0,1,2,23,1,5,39,120,1,3,3,52,2,78,53,4,73,25,497,8
48,0,0,1,8,2,6,42,95,0,2,7,38,2,69,63,1,60,26,472,14
49,0,2,1,15,5,9,49,119,2,0,3,45,1,78,71,1,69,27,542,12
50,1,1,0,7,8,2,24,86,0,1,2,33,1,64,94,0,66,25,454,13
51,1,2,3,12,0,13,33,122,0,2,4,37,0,64,76,3,72,24,509,13
52,1,0,1,5,3,1,34,110,0,0,2,37,2,46,57,0,81,32,446,7
53,1,3,0,16,2,7,42,118,0,3,1,62,1,97,53,3,47,15,531,15
54,1,4,1,22,1,3,34,73,3,2,4,46,1,75,41,0,50,6,416,15
55,1,2,0,20,3,6,37,93,3,3,6,53,1,75,62,0,55,18,479,18
56,0,0,0,13,6,8,37,109,1,2,0,50,3,91,40,5,58,21,489,7
57,0,0,0,7,4,2,30,99,0,4,2,47,5,75,66,3,58,30,464,5
58,1,3,0,16,10,5,17,93,0,3,1,30,0,60,60,0,69,17,417,8
59,1,2,2,19,1,6,23,93,1,2,3,48,1,70,58,1,49,15,429,6
60,0,0,1,11,3,10,33,92,0,2,1,43,1,77,38,1,49,16,410,11
61,1,2,0,16,5,6,21,108,1,2,2,47,1,114,46,5,53,12,482,16
62,0,2,2,15,0,4,26,88,0,0,1,33,0,80,38,1,51,19,398,15
63,0,2,0,16,7,3,26,95,1,3,5,46,0,117,46,4,57,9,472,17
64,1,1,0,14,2,6,20,107,1,2,4,44,1,85,34,3,69,13,434,5
65,0,4,0,17,1,4,44,108,2,4,1,61,1,93,34,3,44,8,482,14
66,0,2,0,13,2,7,38,133,2,3,2,72,0,135,52,1,65,21,589,10
67,0,0,0,19,1,6,26,107,1,0,1,56,5,117,33,1,40,12,479,18
68,0,0,0,17,2,5,23,98,2,2,2,54,0,114,25,0,49,18,446,13
69,2,1,0,11,2,5,19,125,0,1,4,40,2,80,39,1,55,11,439,11
70,1,4,0,11,1,7,10,106,3,3,2,41,0,114,32,1,43,14,431,16
71,0,1,0,15,4,8,29,141,0,0,3,46,0,86,48,3,68,28,526,15
72,0,0,2,14,1,4,27,106,1,4,3,36,2,116,43,2,61,14,465,7
73,1,1,0,11,2,9,19,141,1,5,2,52,1,104,30,1,67,8,490,9
74,1,3,2,5,1,5,12,140,0,3,1,49,0,62,29,1,57,18,422,11
75,0,1,1,7,3,9,24,125,0,2,4,56,2,104,38,1,53,12,493,12
76,1,3,0,12,3,0,14,72,1,1,1,28,5,68,26,1,61,4,323,9
77,0,6,0,29,2,6,38,110,1,0,2,33,2,130,38,2,53,11,504,17
78,0,2,0,8,0,4,13,97,2,0,1,32,3,104,52,1,63,22,426,9
79,0,2,2,8,5,4,26,90,0,2,2,44,1,79,50,1,63,19,430,10
80,1,0,0,3,2,3,17,61,1,0,11,28,2,104,32,1,75,28,393,6
81,0,1,0,15,1,5,26,130,2,3,4,48,2,138,34,1,55,12,526,17
82,0,3,0,10,3,7,15,99,0,2,1,51,2,100,23,1,44,10,406,11
83,0,0,1,10,1,8,24,98,2,2,3,29,2,77,28,5,56,14,389,10
84,0,2,1,8,1,7,31,73,0,1,0,24,0,40,48,8,33,27,342,13
85,0,0,0,24,3,3,49,78,3,0,3,64,0,59,48,2,45,10,432,7
86,0,3,3,13,9,3,40,81,0,2,0,39,1,49,55,4,51,15,399,7
87,0,0,0,8,5,7,30,84,0,0,1,66,3,53,63,0,67,12,437,5
88,0,0,1,25,1,6,37,64,3,2,1,52,1,70,34,6,33,9,389,17
89,0,5,1,17,3,11,39,77,0,1,2,39,1,56,34,2,40,11,375,9
90,0,0,0,17,1,5,20,87,0,2,1,51,3,81,44,0,69,11,433,13
91,0,3,1,33,1,12,42,87,2,1,3,49,1,59,33,2,48,9,428,18
92,0,1,0,25,2,8,29,98,0,4,2,83,1,75,22,0,38,15,457,18
93,0,0,1,25,4,6,53,84,3,1,2,45,0,56,48,0,36,14,431,16
94,1,2,1,11,1,5,26,59,2,5,1,34,0,55,27,1,29,6,287,7
95,0,1,2,32,1,7,46,116,3,1,3,61,1,58,31,0,40,18,465,10
96,0,0,0,17,5,3,20,69,3,0,1,57,0,55,44,1,43,16,375,8
97,0,1,0,18,4,9,36,73,2,3,3,39,1,87,39,1,37,14,404,8
98,0,2,0,5,3,0,22,110,2,2,4,45,1,65,44,1,63,23,433,11
99,1,4,0,16,6,5,36,112,0,2,4,55,1,108,78,2,57,26,557,15
100,1,0,0,11,4,9,22,79,0,0,1,41,2,73,34,0,41,17,367,2
101,0,0,1,13,4,4,40,104,1,1,0,45,4,63,54,4,45,18,448,8
102,0,3,1,14,5,3,37,131,0,5,3,62,0,77,35,1,58,13,488,7
103,0,3,1,4,4,2,26,101,0,2,0,47,2,73,55,1,43,21,412,8
104,0,0,1,15,5,11,36,139,0,3,5,43,1,70,51,4,59,27,513,10
105,0,0,1,7,2,5,29,111,4,5,2,44,2,81,41,0,45,13,452,12
106,0,3,0,12,6,8,29,141,2,2,1,54,3,87,26,6,42,11,474,10
107,0,0,2,39,2,6,23,105,1,5,2,46,1,92,31,1,55,14,473,15
108,1,1,0,12,2,5,10,112,2,7,3,40,1,126,25,0,52,6,439,12
109,0,1,1,33,3,10,40,118,4,3,2,71,0,94,34,2,53,16,537,14
110,0,3,0,16,4,10,26,116,1,1,0,43,1,78,32,5,62,8,443,14
111,1,2,0,10,5,3,11,118,2,2,3,39,0,102,32,0,72,8,435,8
112,0,0,0,18,3,12,25,123,1,2,1,50,0,104,34,1,37,17,469,12
113,0,2,0,16,2,5,45,114,2,1,1,52,1,95,44,0,63,17,495,17
114,0,6,0,14,3,6,37,131,1,2,1,47,0,69,74,0,54,25,526,31
115,2,1,0,10,1,3,28,124,1,2,2,32,1,122,54,0,62,16,506,14
116,0,0,1,13,2,7,21,123,2,4,0,49,1,83,30,0,43,16,444,21
117,0,4,0,4,4,5,29,155,1,3,2,27,1,102,49,2,64,25,516,12
118,0,1,0,10,1,2,15,55,0,3,0,23,1,43,17,0,54,13,266,10
119,1,2,1,10,1,6,38,129,2,4,4,38,1,105,37,7,58,26,502,5
120,0,0,1,9,4,5,36,98,1,2,3,42,2,83,45,2,47,8,430,14
121,0,6,0,11,4,7,15,121,6,0,1,40,3,115,50,7,56,18,483,10
122,0,1,1,11,3,9,13,126,1,4,4,32,0,79,48,2,56,12,434,8
123,0,4,2,7,6,6,28,153,0,1,1,50,3,83,50,7,77,19,552,16
124,0,0,2,15,1,6,16,105,1,4,2,38,0,131,24,1,42,8,413,12
125,1,4,0,22,3,5,20,66,2,5,2,63,1,116,17,3,60,8,431,25
126,0,0,1,12,2,3,28,128,0,0,1,46,1,84,51,0,57,9,448,5
127,0,4,0,11,6,4,25,159,1,8,1,49,3,143,53,8,73,11,577,11
128,1,1,0,12,0,8,18,111,1,4,3,33,1,113,34,2,53,11,440,14
129,0,0,1,15,4,6,25,127,3,4,2,40,2,118,46,2,76,10,510,8
130,0,3,1,12,2,7,20,108,0,5,1,42,1,137,31,7,61,15,497,8
131,0,4,3,5,7,5,20,159,1,1,0,37,1,135,45,2,93,16,557,10
132,1,0,4,16,4,6,30,153,1,3,3,45,3,146,49,5,110,33,658,11
133,1,6,3,5,3,10,26,150,2,1,0,44,0,139,35,8,89,27,593,13
134,0,4,0,5,4,5,13,126,3,4,1,45,0,127,41,5,69,14,506,15
135,0,0,1,8,2,2,11,129,1,3,1,31,1,95,47,1,79,11,449,8
136,0,4,0,3,4,3,11,145,0,1,2,19,4,122,57,3,68,14,495,11
137,0,3,1,8,0,5,12,112,0,2,5,27,4,126,50,1,76,13,477,9
138,0,4,2,3,1,4,32,76,1,2,4,21,1,42,76,3,70,19,403,11
139,1,4,1,7,4,7,38,93,0,1,0,33,2,33,82,11,58,27,442,11
140,0,1,3,9,2,6,42,91,0,0,6,46,2,65,34,2,50,17,410,16
141,0,1,2,14,0,3,31,61,1,3,1,36,1,50,55,0,42,11,361,17
142,1,2,0,4,4,10,26,72,0,1,11,20,2,46,82,4,61,14,379,8
143,3,3,0,11,5,11,47,89,0,1,2,23,1,61,78,3,48,15,449,9
144,2,5,2,10,3,7,35,101,1,1,2,41,0,55,91,4,38,18,466,12
145,0,2,0,8,4,6,48,101,1,1,2,43,0,50,69,4,52,23,455,7
146,0,2,0,17,2,12,44,83,0,0,2,45,0,60,58,0,61,23,436,5
147,0,3,0,9,2,8,58,106,1,1,5,32,4,61,43,8,51,17,469,17
148,0,0,0,15,1,9,47,72,1,3,3,65,0,52,45,3,41,18,415,14
149,0,3,1,29,0,7,31,81,1,0,1,50,0,61,37,4,40,12,393,9
150,1,2,0,13,0,6,34,84,0,1,1,53,1,60,35,1,56,14,400,12
151,0,0,0,11,1,6,52,92,1,3,2,31,0,64,66,2,70,15,447,11
152,2,1,1,5,4,8,38,89,0,1,3,24,0,52,73,4,66,15,440,15
153,0,2,0,19,3,5,43,99,1,2,1,49,2,50,61,0,45,20,434,16
154,0,0,1,5,5,15,68,113,0,1,2,38,2,54,64,1,59,27,491,10
155,1,4,0,13,4,4,56,130,3,0,4,31,1,68,82,2,65,43,548,14
156,0,8,1,3,3,2,45,101,1,1,1,26,1,44,68,0,61,18,421,12
157,0,3,2,7,5,9,43,120,1,2,0,40,0,56,84,1,69,26,518,13
158,0,1,2,9,1,11,39,127,2,1,1,36,0,56,76,0,82,28,508,7
159,0,3,2,6,6,7,41,113,1,0,0,27,1,63,87,8,86,28,530,8
160,0,0,0,8,2,12,25,96,3,5,1,37,2,78,59,5,59,20,455,16
161,0,4,1,12,6,4,40,110,1,3,1,37,1,58,59,2,55,19,448,13
162,1,6,1,12,6,5,43,120,0,1,0,40,0,55,60,0,68,18,481,10
163,0,6,0,11,5,6,45,104,0,2,0,44,1,51,62,2,51,15,448,11
164,0,2,2,4,8,10,36,113,0,1,2,29,2,57,74,4,65,26,471,5
165,0,6,4,11,10,6,41,146,0,2,2,36,0,56,47,4,58,21,500,15
166,0,1,0,5,8,7,32,121,0,0,0,45,1,65,87,6,60,21,497,9
167,0,7,4,11,4,12,34,103,1,1,2,50,1,58,59,4,65,25,481,5
168,0,5,1,7,3,11,41,117,1,2,4,31,2,64,62,4,58,28,479,11
169,0,0,2,12,4,7,34,99,2,6,2,37,1,78,37,1,58,8,420,16
170,1,0,0,10,2,8,27,128,1,4,1,40,1,73,40,1,48,9,462,38
171,0,2,0,10,3,7,29,136,3,0,0,53,0,80,48,2,63,22,497,11
172,0,0,0,0,4,12,36,114,1,0,4,37,3,62,65,5,82,26,506,13
173,0,5,2,10,4,8,32,140,1,4,7,58,1,65,48,2,64,21,514,6
174,0,6,1,6,5,10,27,116,1,5,4,42,0,75,39,3,84,22,486,10
175,1,1,0,12,4,7,28,132,1,3,0,39,2,85,46,6,56,16,477,15
176,0,0,1,6,4,2,15,120,1,2,2,43,0,58,49,1,59,24,427,14
177,1,1,0,9,4,7,27,96,1,2,4,46,1,95,33,3,48,19,433,9
178,1,3,1,11,2,7,35,129,0,1,3,51,1,75,41,0,68,22,483,11
179,0,2,3,13,0,7,25,90,0,7,1,38,2,127,28,2,43,12,443,11
180,0,1,0,13,4,3,11,104,1,1,0,34,1,92,52,4,63,20,436,15
181,0,4,0,8,4,9,27,97,2,4,1,39,1,80,40,0,74,15,437,11
182,0,4,1,6,6,1,16,79,1,1,0,41,2,87,37,1,41,15,374,13
183,2,3,0,4,6,5,26,119,1,1,3,40,0,78,66,1,56,18,463,9
184,1,1,1,4,0,4,30,121,1,3,0,29,2,106,39,0,62,14,458,8
185,0,2,0,13,3,3,24,118,0,3,3,58,2,86,23,1,42,9,424,14
186,0,2,0,8,1,8,32,98,0,2,2,32,2,96,20,1,49,17,408,13
187,2,0,2,11,1,4,24,120,1,0,3,43,2,104,39,0,60,11,457,15
188,0,2,1,7,3,9,9,107,0,1,4,41,0,103,44,2,70,19,469,9
189,1,3,3,6,7,10,35,104,0,0,0,24,0,64,83,1,60,26,461,5
190,0,0,1,10,4,8,44,88,0,2,2,25,1,61,98,0,73,29,494,14
191,1,4,3,8,8,12,59,109,1,0,0,24,0,41,109,5,66,27,502,6
192,0,4,0,13,4,5,44,114,0,1,1,37,2,65,66,1,65,27,490,8
193,0,3,1,11,10,7,39,110,0,0,1,28,3,40,103,7,79,35,525,7
194,0,1,4,5,10,8,31,112,1,1,5,31,0,39,113,5,75,30,515,7
195,0,1,6,7,7,8,45,104,0,0,0,60,0,66,67,4,82,29,512,6
196,1,1,2,5,6,3,45,85,1,1,2,26,0,57,72,2,62,32,419,4
197,0,5,0,13,3,5,38,116,0,0,3,31,0,60,54,5,69,30,462,10
198,0,1,1,10,1,2,34,151,0,3,2,49,3,172,46,0,74,17,607,16
199,0,4,1,17,2,9,23,166,2,5,4,70,0,186,56,5,75,18,678,14
200,1,4,0,19,7,6,33,180,1,4,4,61,3,173,35,2,95,22,700,16
201,0,5,1,10,1,5,27,141,1,7,5,34,1,148,33,0,58,14,517,3
202,2,2,3,9,2,7,25,170,3,5,3,51,0,101,55,2,69,24,567,9
203,1,1,0,7,0,7,13,129,0,2,2,46,3,130,35,1,88,9,517,37
204,0,5,0,16,2,3,15,158,0,3,7,61,1,150,50,2,77,22,591,12
205,1,0,2,10,3,4,21,151,0,9,1,43,1,114,40,2,85,4,549,15
206,0,0,2,4,1,9,12,134,2,4,2,39,1,121,32,0,60,16,476,13
207,0,3,0,11,3,6,16,158,2,5,2,50,1,183,43,3,86,16,626,16
208,0,2,2,8,1,4,16,116,2,9,2,30,4,119,32,2,72,15,452,12
209,2,1,0,9,3,6,17,164,1,7,1,49,4,116,42,0,62,8,533,14
210,0,10,1,7,6,2,27,125,1,3,1,46,0,81,36,2,55,20,469,13
211,1,1,0,5,0,3,15,188,0,0,3,44,3,131,40,0,84,16,567,13
212,0,6,1,6,5,3,34,199,0,5,5,48,3,168,53,1,105,22,715,16
213,0,1,1,18,3,6,23,160,1,8,1,48,2,128,37,5,73,16,551,12
214,1,3,0,16,2,4,18,165,0,5,3,62,0,92,38,1,57,19,519,7
215,1,1,0,10,5,9,13,88,1,3,0,28,2,101,33,0,49,9,390,16
216,2,2,1,13,2,4,17,145,2,6,4,39,0,85,42,1,67,20,464,9
217,0,3,2,10,1,6,19,156,0,3,3,34,3,141,44,2,76,15,560,15
218,2,2,1,8,2,3,15,127,5,6,1,60,3,136,37,3,52,12,492,9
219,0,4,1,6,0,6,31,199,3,6,2,80,1,103,37,2,64,11,589,17
220,0,7,0,9,13,8,21,211,1,3,3,48,1,88,47,2,60,16,579,15
221,1,1,0,6,1,3,11,133,0,2,1,27,1,85,34,0,60,5,409,18
222,0,2,1,8,0,8,18,184,2,8,3,38,2,130,38,3,62,23,564,11
223,1,2,1,9,3,3,7,172,3,3,1,38,0,89,32,1,56,13,460,11
224,1,2,0,8,2,12,8,148,1,1,3,36,2,116,33,2,63,15,472,16
225,0,2,0,3,1,4,17,149,1,4,3,43,2,98,38,2,65,10,478,12
226,0,2,0,7,0,7,8,118,1,2,1,18,1,99,28,0,58,6,384,19
227,0,0,0,10,4,1,9,128,0,2,1,26,6,68,26,1,59,8,379,9
228,1,3,0,3,0,7,4,122,2,5,0,34,2,101,25,2,57,4,407,19
229,0,2,1,6,4,4,15,170,2,5,2,49,0,72,37,1,57,15,459,4
230,2,3,0,4,6,10,14,146,0,6,3,30,3,135,37,1,90,11,550,21
231,1,4,0,4,0,1,4,88,0,2,0,22,1,110,21,1,53,7,344,16
232,0,3,1,8,5,6,8,150,2,5,1,41,2,142,24,1,48,5,464,7
233,1,1,1,3,2,2,11,137,1,3,0,43,3,140,42,4,79,10,512,12
234,0,5,1,4,3,1,14,166,0,3,2,42,2,126,53,3,82,18,557,14
235,0,1,2,1,2,6,12,172,1,4,1,35,1,95,30,1,49,12,449,8
236,1,2,1,2,1,4,7,171,1,8,1,40,1,92,25,1,69,13,463,8
237,0,0,1,13,1,6,27,240,1,6,4,74,3,208,44,1,82,15,767,16
238,1,2,1,5,6,6,12,155,4,2,3,31,4,113,41,3,63,16,506,11
239,3,4,0,3,3,2,15,145,3,4,3,28,3,105,28,3,58,11,452,7
240,1,6,0,10,1,4,31,156,3,4,1,52,3,197,38,5,87,16,664,17
241,0,3,0,11,3,4,13,165,2,3,2,36,2,108,31,3,68,12,495,7
242,2,2,0,6,4,4,15,145,0,5,2,40,0,121,31,4,78,22,527,22
243,0,0,0,7,2,5,13,120,1,7,2,22,1,114,27,0,61,7,427,16
244,0,0,1,9,4,1,10,145,0,5,3,30,1,137,31,2,73,15,503,14
245,1,0,2,5,4,4,13,137,1,5,1,34,2,158,33,0,79,9,522,17
