Ticketid,Category,Subcategory,Description
87056,Viabilità e traffico,Circolazione,Violazione codice della strada
89348,Arredo urbano,Panchine,Danneggiate/imbrattate
89117,Verde pubblico,Aree verdi,Incuria/sporche
89118,Verde pubblico,Aree verdi,
85522,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85523,Verde pubblico,Aree verdi,Incuria/sporche
85524,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
85528,Degrado sociale,Segnalazioni,Nomadi
85530,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
85531,Degrado urbano,Piazze/strade,Imbrattate
85554,Verde pubblico,Aree verdi,Incuria/sporche
85556,Degrado sociale,Segnalazioni,Bande giovanili
85557,Viabilità e traffico,Sosta e parcheggi,Progettazione e modifica
85561,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85566,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
85577,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
85579,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
85598,Verde pubblico,Alberi/rami,Invadenti
85603,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85618,Viabilità e traffico,Zone con restrizione alla circolazione,Aree pedonali/fittonate
85640,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
85653,Degrado urbano,Parcheggi pubblici,
85659,Degrado urbano,Parcheggi pubblici,
85661,Viabilità e traffico,Passi carrai,Occupati
85687,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85695,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
85701,Verde pubblico,Aree verdi,Danneggiate
85705,Viabilità e traffico,Segnaletica ai sensi del CdS,Danneggiata
85716,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
85729,Degrado sociale,Segnalazioni,Prostituzione
85732,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
85772,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
85794,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85798,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
85801,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
85810,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Pulizia strade
85838,Degrado urbano,Piazze/strade,Dissestate
85845,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85854,Degrado ambientale,Rifiuti/rottami,Rifiuti ingombranti
85864,Viabilità e traffico,Semafori e sistemi di controllo accessi,Carenti
85872,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85888,Verde pubblico,Alberi/rami,Carenti
85891,Verde pubblico,Aree verdi,Danneggiate
85894,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
85896,Degrado ambientale,Rifiuti/rottami,Rifiuti ingombranti
85906,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
85907,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
85911,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85914,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
85915,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
85918,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
85920,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85923,Arredo urbano,Contenitori rifiuti,Carenti
85925,Verde pubblico,Aree verdi,Danneggiate
85926,Verde privato,,
85929,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
85933,Viabilità e traffico,Sosta e parcheggi,Progettazione e modifica
85934,Verde pubblico,Aree verdi,Incuria/sporche
85944,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
85962,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Richiesta rimozione
85979,Arredo urbano,Cartelli toponomastici,Numeri civici
85980,Degrado urbano,Edifici privati,Imbrattati
85984,Animali,Cani,Presenze
85986,Degrado urbano,Piste ciclabili,Carenti
85987,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
85993,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85994,Degrado urbano,Piazze/strade,Dissestate
85995,Attività produttive,Laboratori artigianali,Abusivismo
85999,Animali,Cani,Presenze
86011,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
86025,Degrado urbano,Piazze/strade,Dissestate
86028,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
86029,Degrado sociale,Segnalazioni,Senza fissa dimora
86031,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Deiezioni cani
86032,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86035,Degrado urbano,Piazze/strade,Dissestate
86036,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
86037,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
86038,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
86047,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
86053,Verde pubblico,Aree verdi,Incuria/sporche
86062,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
86064,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
86068,Animali,Roditori,Presenze
86069,Verde pubblico,Alberi/rami,Invadenti
86070,Verde privato,Alberi/rami,Invadenti
86079,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
86090,Arredo urbano,Bacheche,Danneggiate/incuria
86099,Verde privato,Siepi,Invadenti
86102,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
86109,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da persone
86123,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
86135,Microcriminalità,Vandalismi,
86136,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
86144,Degrado ambientale,Rifiuti/rottami,Rifiuti ingombranti
86145,Verde privato,Aree verdi,Incuria
86148,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
86153,Degrado sociale,Segnalazioni,Bivacco
86161,Verde pubblico,Aree verdi,
86162,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
86168,Degrado urbano,Piazze/strade,Dissestate
86175,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
86195,Verde pubblico,Alberi/rami,Carenti
86200,Verde privato,Alberi/rami,
86202,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
86203,Viabilità e traffico,Circolazione,Modifica assetto circolatorio
86204,Verde pubblico,Siepi/aiuole,Carenti
86217,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86220,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86239,Microcriminalità,Videosorveglianza,
86241,Degrado urbano,Piazze/strade,Dissestate
86245,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
86251,Viabilità e traffico,Circolazione,
86258,Viabilità e traffico,Circolazione,Violazione codice della strada
86280,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
86281,Attività produttive,,
86285,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86312,Animali,Cani,Presenze
86326,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Pulizia strade
86335,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86336,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
86342,Attività produttive,,
86368,Arredo urbano,Impianti sportivi,Danneggiati/incuria
86369,Viabilità e traffico,Trasporto Pubblico,Fermate autobus
86371,Animali,Cani,Presenze
86373,Animali,Cani,Presenze
86390,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86392,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86393,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86399,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,
86412,Verde pubblico,Alberi/rami,Invadenti
86425,Verde pubblico,Alberi/rami,Invadenti
86436,Verde pubblico,Alberi/rami,Invadenti
86440,Degrado urbano,Piazze/strade,Dissestate
86446,Viabilità e traffico,Sosta e parcheggi,Progettazione e modifica
86458,Degrado urbano,Edifici privati,Danneggiati
86464,Degrado ambientale,Inquinamento atmosferico,Amianto
86475,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
86476,Degrado sociale,Segnalazioni,Prostituzione
86488,Degrado urbano,Piazze/strade,Dissestate
86494,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
86495,Verde pubblico,Alberi/rami,Incuria
86503,Arredo urbano,Segnaletica verticale non ai sensi del CdS,Danneggiata/imbrattata
86512,Verde pubblico,Alberi/rami,Incuria
86523,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
86528,Animali,Cani,Presenze
86539,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Deiezioni cani
86562,Degrado ambientale,,
86565,Viabilità e traffico,,
86586,Animali,Uccelli,Presenze
86594,Animali,Roditori,Presenze
86599,Verde pubblico,Aree verdi,Incuria/sporche
86604,Animali,Roditori,Presenze
86608,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
86609,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
86611,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
86613,Degrado ambientale,Inquinamento atmosferico,Emissioni da impianti termici/condizionatori
86614,Verde pubblico,Alberi/rami,Invadenti
86633,Degrado sociale,Segnalazioni,Bande giovanili
86650,Arredo urbano,Cartelloni pubblicitari,Danneggiati/incuria
86655,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
86667,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
86673,Verde privato,Alberi/rami,Invadenti
86677,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da piccioni
86684,Servizi comunali,Servizi online,
86687,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
86690,Animali,Roditori,Presenze
86694,Verde pubblico,Aree verdi,Incuria/sporche
86708,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,
86715,Arredo urbano,Recinzioni in muratura,
86739,Animali,Roditori,Presenze
86740,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
86744,Degrado urbano,Piazze/strade,Dissestate
86768,Verde pubblico,Alberi/rami,Danneggiati
86776,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86787,Degrado sociale,Segnalazioni,Bivacco
86820,Animali,Cani,Presenze
86826,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86829,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
86831,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
86833,Verde pubblico,Alberi/rami,Carenti
86836,Verde privato,Alberi/rami,Invadenti
86837,Degrado urbano,Cantieri edili,Abbandonati
