latitude,longitude,altitude,geometry,TICKETID,INDIRIZZO,TIPO_AREA_,COD_AREAST
44.500388,11.343039,,Point,85509,Via Strazzacappe  (Porto - Saragozza),Area Statistica: MARCONI-2,29
44.5212032,11.3491764,,Point,85510,Via Jacopo di Paolo 5 (Navile),Area Statistica: VIA FERRARESE,15
44.48666197,11.34055996,,Point,85511,Via Paglietta 23 (Santo Stefano),Area Statistica: GALVANI-2,54
44.4790019,11.3691001,,Point,85512,Via Giuseppe Dagnini   (Santo Stefano),Percorso di ascolto | DAGNINI,58
44.4635964,11.3710136,,Point,85513,Via Toscana 54  (Savena),Area Statistica: VIA TOSCANA,88
44.4886639,11.3418568,,Point,85514,Via delle Tovaglie   (Santo Stefano),Area Statistica: GALVANI-2,54
44.4939092,11.3583284,,Point,85515,Via Giuseppe Massarenti 14 (San Donato - San Vitale),Percorso di ascolto | CIRENAICA,62
44.4769299,11.3713501,,Point,85516,Via degli Orti   (Santo Stefano),Percorso di ascolto | DAGNINI,58
44.49752697,11.33873552,,Point,85517,Via Gian Battista Morgagni 2 (Porto - Saragozza),Area Statistica: MARCONI-1,30
44.5103182,11.3844019,,Point,85518,Via San Donato 171 (San Donato - San Vitale),Area Statistica: PILASTRO,44
44.4740021,11.3913634,,Point,85519,Via Genova   (Savena),Percorso di ascolto | VIA ARNO,85
44.4734742,11.3927504,,Point,85520,Via Genova 13  (Savena),Percorso di ascolto | VIA ARNO,85
44.5200748,11.3342506,,Point,85521,Via del Navile   (Navile),Area Statistica: BEVERARA,28
44.5114741,11.2893071,,Point,85522,Via Emilia Ponente 312  (Borgo Panigale - Reno),Area Statistica: TRIUMVIRATO-PIETRA,9
44.51003392,11.28542662,,Point,85523,Via della Pietra 18 (Borgo Panigale - Reno),Area Statistica: TRIUMVIRATO-PIETRA,9
44.4917225,11.2852344,,Point,85524,Via Masaccio 5  (Borgo Panigale - Reno),Area Statistica: VILLAGGIO DELLA BARCA,36
44.5132122,11.3517832,,Point,85526,Via Ferrarese 24 (Navile),Area Statistica: VIA FERRARESE,15
44.4953024,11.3174096,,Point,85525,Via Andrea Costa 125  (Porto - Saragozza),Area Statistica: XXI APRILE,72
