IMG;BENE_CULTURALE;TITOLO;SOGGETTO;TIPO_SCHEDA;CODICE_UNIVOCO;LOCALIZZAZIONE;CONTENITORE;DATAZIONE;AMBITO_CULTURALE;AUTORE;MATERIA_TECNICA;MISURE;CONDIZIONE_GIURIDICA;DATI_ANALITICI;ISCRIZIONE;NOTIZIE_STORICO-CRITICHE;ALTRA_LOCALIZZAZIONE;REPERIMENTO;ALTRE_ATTRIBUZIONI;COMMITTENZA;DATI_CATASTALI;GEOREFERENZIAZIONE;BIBLIOGRAFIA;DEFINIZIONE;DENOMINAZIONE;CLASSIFICAZIONE;REGIONE;PROVINCIA;COMUNE;LOCALITA;TOPONIMO;DIOCESI;INDIRIZZO;PROVVEDIMENTI_TUTELA;INVENTARIO;STIMA;RAPPORTO;ALTRI_CODICI;ENTE_SCHEDATORE;ENTE_COMPETENTE;AUTORI;ANNO_CREAZIONE;ANNO_MODIFICA;LAT;LON
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019086/ICCD10877738_SA%20AN%20335035.jpg;"testa ritratto femminile di statua, ritratto di OttaVia";"";"OttaVia";"RA_2.00";"11 00241589";"PU, Fano, FanoPiazza 20 Settembre 4";"palazzo, comunale, Palazzo Malatestiano, Piazza 20 Settembre 4, Museo Civico Archeologico Malatestiano";"sec. I a.C. ; 40 a.C. (ca.)  - 30 a.C. (ca.) [bibliografia]";"età augustea(bibliografia)";"";"marmo bianco; a tutto tondo";"cm, alt. 35, ";"proprietà Ente locale, Comune di Fano";"La testa, comprendente il collo delimitato nella zona inferiore da un taglio curvilineo, era originariamente pertinente ad una statua iconica. E' leggermente inclinata verso destra e rappresenta una giovane donna con fronte bassa, occhi grandi con bulbo non inciso, inquadrato da palpebre rigonfie, naso leggermente aquilino, zigomi poco pronunciati, bocca piccola con fossette ai lati, mento breve. I capelli, resi calligraficamente con linee sottili, sono raccolti sulla fronte in un ampio e rigonfio nodus e posteriormente in una bassa crocchia suddivisa in quattro ciocche. Un cordone parte dai lati del nodus e termina dietro la nuca intorno alla crocchia.";"";"Il ritratto è stato identificato con OttaVia, sorella di Augusto";"reperimento: PU, Fano";"";"";"";"";"";"Battistelli F./ De Sanctis L.(	1984)p. 44, n. 65; Battistelli F.(	1989)pp.  86-87; Purcaro V.(	1992-1993)v. XII-XIII, pp. 205-214; Purcaro V.(	2002)pp. 110-111; Sensi L.(	1992)p. 323; Purcaro V.(	2005)pp. 80-81, n. 39";"testa ritratto femminile di statua";"ritratto di OttaVia";"scultura";"";"PU";"Fano";"Fano";"";"";"Piazza 20 Settembre 4";"";"";"";"";"";"S02";"S02";"Compilatore scheda: Pignocchi G.; Funzionario responsabile: Baldelli G.; Trascrizione per informatizzazione: Pignocchi G. (2003); Aggiornamento-revisione: Pignocchi G. (2004); ";"2003";"2004";43.843528;13.017442
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019086/ICCD10877788_SA%20AN%20335076.jpg;"statua triforme";"";"Ecate";"RA_2.00";"11 00241609";"PU, Pesaro, PesaroVia Domenico Mazza 97";"palazzo, comunale, Palazzo Almerici, Via Domenico Mazza 97, Museo Archeologico Oliveriano";"secc. I-II d.C. ; non id.  - non id. [bibliografia]";"prima età imperiale(bibliografia)";"";"marmo; a tutto tondo";"cm, alt. 25, ";"proprietà Ente locale, Comune di Pesaro";"Piccola statua di Ecate triforme; le tre figure femminili sono disposte intorno ad una colonna centrale cilindrica su base circolare, sagomata da un'ampia gola tra due listelli. Le raffigurazioni sono molto simili per abbigliamento e particolari fisionomici: sono stanti, in posizione frontale, con i piedi uniti che fuoriescono dalla veste. Indossano un chitone altocinto ed un peplo. L'abito ricopre le braccia sino al gomito. Lo schema del drappeggio richiama modelli arcaici, con rilievo dato al cordone centrale di pieghe, dal quale si dipartono quelle laterali, disposte simmetricamente. Tutte le figure hanno un basso polos, copricapo caratteristico della dea; hanno capigliatura a scriminatura centrale, con ciocche ondulate al lati del volto e desinenti in due trecce che ricadono sulle spalle. I volti sono ovali, con piccola bocca e lineamenti minuti.";"";"";"";"";"";"";"";"";"Zicari I.(	1969)p. 8; Cardinali C.(	2005)p. 180, n. 95";"statua triforme";"";"scultura";"";"PU";"Pesaro";"Pesaro";"";"";"Via Domenico Mazza 97";"";"";"";"";"";"R11";"S02";"Compilatore scheda: Pignocchi G.; Funzionario responsabile: Baldelli G.; Trascrizione per informatizzazione: Pignocchi G. (2004)";"2004";"";43.886453;12.863564
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019086/ICCD10877740_SA%20AN%20335034.jpg;"testa di giovane";"";"figura giovanile";"RA_2.00";"11 00241590";"PU, Fano, FanoPiazza 20 Settembre 4";"palazzo, comunale, Palazzo Malatestiano, Piazza 20 Settembre 4, Museo Civico Archeologico Malatestiano";"sec. I d.C. prima metà; 0 (ca.)  - 49 d.C. (ca.) [bibliografia]";"età giulio-claudia(bibliografia)";"";"marmo bianco; a tutto tondo";"cm, alt. 32, ";"proprietà Ente locale, Comune di Fano";"Questo ritratto ha subito un forte processo di rilavorazione  che ha trasformato l'immagine che in origine raffigurava un giovane uomo caratterizzato da una ricca e corposa capigliatura con  lunghe ciocche riportate sulla fronte. La capigliatura in pi? punti è stata scalpellata, mentre la superficie al di sotto della fronte è stata abbassata e una sorta di gradino, che doveva essere  completato con stucco e colore, si osserva al di sotto della parte mediana della fronte.";"";"";"reperimento: PU, Fano";"";"";"";"";"";"Battistelli F./ De Sanctis L.(	1984)p. 44, n. 68; Battistelli F.(	1989)pp.  85 e 89; Sensi L.(	2005)pp. 104-105, n. 52";"testa di giovane";"";"scultura";"";"PU";"Fano";"Fano";"";"";"Piazza 20 Settembre 4";"";"";"";"";"";"R11";"S02";"Compilatore scheda: Pignocchi G.; Funzionario responsabile: Baldelli G.; Trascrizione per informatizzazione: Pignocchi G. (2003); Aggiornamento-revisione: Pignocchi G. (2004); ";"2003";"2004";44.188813;10.782584
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019086/ICCD10877791_SA%20AN%20335056.jpg;"ampolla";"";"";"RA_2.00";"11 00241610";"PU, Pesaro, PesaroVia Domenico Mazza 97";"palazzo, comunale, Palazzo Almerici, Via Domenico Mazza 97, Museo Archeologico Oliveriano";"secc. I-II d.C. ; non id.  - non id. [bibliografia]";"prima età imperiale(bibliografia)";"";"vetro; soffiatura e a incisione";"cm, alt. 9.9, diam. 9.3, ";"proprietà Ente locale, Comune di Pesaro";"Ampolla vitrea di color paglierino a pareti sottilissime, con corpo globulare e fondo concavo senza anse e mancante del collo, che doveva essere stretto e conico. La decorazione incisa sulla parete esterna del vaso, rappresenta una scena di circo (ambientata nel Circo Massimo di Roma) con tracce di iscrizione; in alto a destra si legge CLAUDIA, mentre al di sotto, entro una fascia delimitata da due cerchi ravvicinati, si legge una Z e pi? a destra la lettera S. Nel  disegno fatto sia dal Passeri nel 1751 che dal Bizzarri nel 1914 si poteva ancora leggere la scritta ZESES per intero, alla quale fanno riferimento oggi le due sole lettere rimaste.";"Classe di appartenenza: celebrativa;  Latino;  Tecnica di scrittura: a incisione;  Tipo di caratteri: lettere capitali;  Posizione: in basso; z[ese]s; Classe di appartenenza: celebrativa;  Latino;  Tecnica di scrittura: a incisione;  Tipo di caratteri: lettere capitali;  Posizione: in alto; CLAUDIA";"";"reperimento: PU, Pesaro; provenienza: AN, Ancona";"";"";"";"";"";"Dall'Osso I.(	1915); Antonio Brancati/ Claudia Lanari(	2005)pp. 312-313, n. 165";"ampolla";"";"vetri";"";"PU";"Pesaro";"Pesaro";"";"";"Via Domenico Mazza 97";"";"";"";"";"";"R11";"S02";"Compilatore scheda: Pignocchi G.; Funzionario responsabile: Baldelli G.; Trascrizione per informatizzazione: Pignocchi G. (2004)";"2004";"";43.886453;12.863564
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019086/ICCD10877742_SA%20AN%20335028.jpg;"testa ritratto";"";"Tiberio o Vespasiano";"RA_2.00";"11 00241591";"PU, Fano, FanoPiazza 20 Settembre 4";"palazzo, comunale, Palazzo Malatestiano, Piazza 20 Settembre 4, Museo Civico Archeologico Malatestiano";"sec. I d.C. prima metà; 0 (ca.)  - 49 d.C. (ca.) [bibliografia]";"età giulio-claudia(bibliografia)";"";"marmo bianco; a tutto tondo";"cm, alt. 32, ";"proprietà Ente locale, Comune di Fano";"Il ritratto era destinato ad una statua, come lascia riconoscere l'attacco alla base del collo e costituisce un interessante palinsesto. L'originaria scultura  che doveva rappresentare  un personaggio in età matura è stata completamente rilavorata  eliminando la ricca capigliatura della quale rimangono soltanto tracce nella parte posteriore. Il ritratto  raffigura, nella attuale versione,  un uomo calvo,  caratterizzato da un cranio fortemente ingrossato, mento corto e tondeggiante, labbra molto piccole, zigomi accentuati  e profonde rughe che solcano tutta la superficie.";"";"";"reperimento: PU, Fano";"";"";"";"";"";"Battistelli F./ De Sanctis L.(	1984)p. 44, n. 67; Battistelli F.(	1989)p. 89; Sensi L.(	2005)pp. 102-103, n. 51";"testa ritratto";"";"scultura";"";"PU";"Fano";"Fano";"";"";"Piazza 20 Settembre 4";"";"";"";"";"";"R11";"S02";"Compilatore scheda: Pignocchi G.; Funzionario responsabile: Baldelli G.; Trascrizione per informatizzazione: Pignocchi G. (2003); Aggiornamento-revisione: Pignocchi G. (2004); ";"2003";"2004";44.188813;10.782584
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019086/ICCD10877798_SA%20AN%20335074.jpg;"rilievo funerario";"";"";"RA_2.00";"11 00241614";"PU, Pesaro, PesaroVia Domenico Mazza 97";"palazzo, comunale, Palazzo Almerici, Via Domenico Mazza 97, Museo Archeologico Oliveriano";"secc. I-VIII d.C. fine/inizio; non id.  - non id. [bibliografia]";"età romana/altomedievale(bibliografia)";"";"calcare; a altorilievo";"cm, alt. 43, prof. 20, lungh. 110.5, ";"proprietà Ente locale, Comune di Pesaro";"Parte di monumento sepolcrale. Il prospetto è suddiviso in tre nicchie ad edicola con arco a tutto sesto, suddivise da piedritti semplici, decorati da due coppie di linee verticali. Ciascuna nicchia accoglie una testa, femminile al centro, maschili ai lati. La capigliatura è a rigida calotta con capelli resi mediante linee profondamente incise sia in senso obliquo (a raggiera), a seguire la curva della testa, che verticale. L'unica differenza tra la resa di capigliatura dei personaggi maschili e quella femminile è la maggiore lunghezza di quest'ultima ai lati, sopra le orecchie.";"";"";"provenienza: PU, Pesaro";"";"";"";"";"";"Zampetti P.(	1993)p. 37; Zicari I.(	1969)p. 22; Uttoveggio F.(	2005)p. 249, n. 133";"rilievo funerario";"";"monumenti funerari";"";"PU";"Pesaro";"Pesaro";"";"";"Via Domenico Mazza 97";"";"";"";"";"";"S02";"S02";"Compilatore scheda: Pignocchi G.; Funzionario responsabile: Baldelli G.; Trascrizione per informatizzazione: Pignocchi G. (2004)";"2004";"";43.909835;12.909469
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019086/ICCD10877481_SA%20AN%20173618.jpg;"erma";"";"Dioniso barbato";"RA_2.00";"11 00078025";"PU, Fano, FanoPiazza 20 Settembre 4";"palazzo, comunale, Palazzo Malatestiano, Piazza 20 Settembre 4, Museo Civico Archeologico Malatestiano, sala del Torso, vetrina sinistra, primo ripiano";"sec. II d.C. fine; 180 d.C. (ca.)  - 199 d.C. (ca.) [bibliografia]";"età tardo antonina/età severiana(bibliografia)";"";"pietra calcarea; scalpellatura e trapanatura";"cm, alt. 12.5, largh. 8.4, ";"proprietà Ente locale, Comune di Fano";"Divinità barbata con il capo cinto da un largo cercine. Volto con occhi piccoli assai ravvicinati con la pupilla incisa, naso con narici larghe e aperte, bocca semiaperta. I baffi cadono spioventi a tenaglia e terminano ai lati della bocca con due riccioli. I capelli sono raccolti sul capo e le ciocche sono avvolte su un cercine tubolare dal quale fuoriescono due bande che scendono simmetricamente sopra le orecchie; un fiore (rosetta) è trattenuto sul lato sinistro dalla Taenia. Sulla sommità i capelli si dispongono a fasce concentriche. La pietra è consumata ma l'uso del trapano nella separazione delle ciocche dal viso e nell'incisione dell'iride risulta evidente.";"";"";"";"";"";"";"";"";"Battistelli F.(	1992)p. 153; Ermeti A.L.(	1992)p. 321, n. 3; Ermeti A.L.(	2005)p. 222, n. 119";"erma";"";"scultura";"";"PU";"Fano";"Fano";"";"";"Piazza 20 Settembre 4";"";"";"";"";"";"R11";"S02";"Compilatore scheda: Pignocchi G.; Funzionario responsabile: Virzì R.; Aggiornamento-revisione: Pignocchi G. (2003); ";"1993";"2003";44.188813;10.782584
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019086/ICCD10877794_SA%20AN%20335052.jpg;"testa ritratto";"";"figura femminile";"RA_2.00";"11 00241612";"PU, Pesaro, PesaroVia Domenico Mazza 97";"palazzo, comunale, Palazzo Almerici, Via Domenico Mazza 97, Museo Archeologico Oliveriano";"sec. I a.C. ; non id.  - non id. [bibliografia]";"età tardo repubblicana(bibliografia)";"";"calcare; a tutto tondo";"cm, alt. 30, ";"proprietà Ente locale, Comune di Pesaro";"Il viso è caratterizzato dalla struttura quadrangolare, con fronte piuttosto bassa, la mascella larga e piatta. Gli occhi sono piccoli e sporgenti, con iride e pupilla non rilevati. La bocca è sottile e serrata. I capelli sono divisi sulla fronte da una scriminatura e inquadrano il volto con boccoli chiusi e composti che scendono fin sopra le orecchie. Il capo è coperto da un lembo della palla. I lineamenti del volto risultano decisi e forti e l'epidermide incisa da solchi naso-labiali.";"";"";"reperimento: PU, Pesaro";"";"";"";"";"";"Luni M.(	2005)pp. 60-61, n. 32; ";"testa ritratto";"";"scultura";"";"PU";"Pesaro";"Pesaro";"";"";"Via Domenico Mazza 97";"";"";"";"";"";"R11";"S02";"Compilatore scheda: Pignocchi G.; Funzionario responsabile: Baldelli G.; Trascrizione per informatizzazione: Pignocchi G. (2004)";"2004";"";43.886453;12.863564
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019086/ICCD10877477_SA%20AN%20173616.jpg;"testa";"";"Dioniso imberbe";"RA_2.00";"11 00078024";"PU, Fano, FanoPiazza 20 Settembre 4";"palazzo, comunale, Palazzo Malatestiano, Piazza 20 Settembre 4, Museo Civico Archeologico Malatestiano, sala del Torso, vetrina sinistra, primo ripiano";"sec. I d.C. inizio/fine; 0 (ca.)  - 99 d.C. (ca.) [bibliografia]";"prima età imperiale(bibliografia)";"";"marmo bianco; a tutto tondo";"cm, alt. 12.5, largh. 11.3, prof. 6, ";"proprietà Ente locale, Comune di Fano";"Volto ovale con mento tondeggiante e zigomi sfuggenti, occhi ravvicinati e di taglio obliquo con palpebre in evidenza, bocca piccola con labbra carnose, naso non conservato. Forato il lobo dell'orecchi destro, un altro foro uguale sotto la capigliatura alla sinistra. I capelli, trattati a larghe ciocche, sono trattenuti da una doppia benda sulla fronte dalla quale scendono due bande laterali di capelli che si allargano ondulate sopra le orecchie mentre sopra la fronte s'innalzano due larghe ciocche spartite nel mezzo.";"";"";"reperimento: PU, Fano";"";"";"";"";"";"Battistelli F.(	1992)p. 152; Ermeti A.L.(	1992)p. 320, n. 2; Ermeti A.L.(	2005)p. 167, n. 84";"testa";"";"scultura";"";"PU";"Fano";"Fano";"";"";"Piazza 20 Settembre 4";"";"";"";"";"";"R11";"S02";"Compilatore scheda: Pignocchi G.; Funzionario responsabile: Virzì R.; Aggiornamento-revisione: Pignocchi G. (2001); ";"1993";"2001";44.188813;10.782584
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019086/ICCD10877786_SA%20AN%20335189.jpg;"sarcofago strigilato, sarcofago delle oranti";"";"";"RA_2.00";"11 00241608";"PU, Pesaro, PesaroVia Domenico Mazza 97";"palazzo, comunale, Palazzo Almerici, Via Domenico Mazza 97, Museo Archeologico Oliveriano";"sec. IV d.C. inizio; 300 d.C. (ca.)  - 310 d.C. (ca.) [bibliografia]";"età tardo imperiale(bibliografia)";"";"marmo lunense; a tutto tondo";"cm, alt. 103, prof. 85, lungh. 226, ";"proprietà Ente locale, Comune di Pesaro";"Il sarcofago è decorato solo sulla fronte: questa è scompartita in cinque pannelli, due dei quali occupati da strigili. Nei pannelli laterali compaiono due figure femminili che indossano la tunica e la palla stretta da una cintura sotto il seno; sono leggermente voltate verso il centro della lastra, sulla gamba flessa; hanno le braccia piegate e le mani aperte sollevate all'altezza delle spalle; i capelli sono raccolti in una treccia ritorta che dalla nuca è ripiegata fin sulla sommità del capo e qui puntata in uno chignon piatto. Nel pannello centrale una ragazzina è abbigliata e pettinata come le figure citate ma solleva solo la mano destra; accanto a lei una matrona ha la palla senza cintura e tirata sul capo, alza anch'essa la mano destra aperta e tiene affettuosamente la mano sinistra sulla spalla della fanciulla. Ai lati della coppia stanno due pilastrini che reggono due puttini nudi con una colomba fra le braccia.";"";"";"provenienza: PU, Pesaro; provenienza: PU, Pesaro";"";"";"";"";"";"Gabrielli G.M.(	1961)pp. 89-92; Zicari I.(	1969)p. 20; Profumo M.C.(	2005)p. 265, n. 142";"sarcofago strigilato";"sarcofago delle oranti";"sarcofagi";"";"PU";"Pesaro";"Pesaro";"";"";"Via Domenico Mazza 97";"";"";"";"";"";"R11";"S02";"Compilatore scheda: Pignocchi G.; Funzionario responsabile: Profumo M.C.; Trascrizione per informatizzazione: Pignocchi G. (2003); Aggiornamento-revisione: Pignocchi G. (2004); ";"2003";"2004";43.886453;12.863564
